"ProjectDescriptionID","trapVisitID","visitTime","siteName","subSiteName","visitType","catchRawID","commonName","releaseID","run","fishOrigin","lifeStage","forkLength","totalLength","n","ActualCount"
7,2,2022-10-17 13:58:44,"Hallwood","Hallwood 1 RR","Start trap & begin trapping",2,"Chinook salmon",0,"Not recorded","Natural","Not recorded",NA,NA,0,"Yes"
7,3,2022-10-18 09:53:53,"Hallwood","Hallwood 1 RR","Continue trapping",4,"Chinook salmon",0,"Not recorded","Natural","Not recorded",NA,NA,0,"Yes"
7,4,2022-10-19 11:55:22,"Hallwood","Hallwood 1 RR","Continue trapping",5,"Steelhead / rainbow trout",0,"Not recorded","Natural","Parr",58,NA,1,"Yes"
7,5,2022-10-20 09:07:46,"Hallwood","Hallwood 1 RR","Continue trapping",6,"Chinook salmon",0,"Not recorded","Natural","Not recorded",NA,NA,0,"Yes"
7,6,2022-10-21 10:50:34,"Hallwood","Hallwood 1 RR","End trapping",7,"Riffle sculpin",0,"Not recorded","Natural","Not recorded",NA,45,1,"Yes"
7,6,2022-10-21 10:50:34,"Hallwood","Hallwood 1 RR","End trapping",8,"Riffle sculpin",0,"Not recorded","Natural","Not recorded",NA,67,1,"Yes"
7,6,2022-10-21 10:50:34,"Hallwood","Hallwood 1 RR","End trapping",9,"Smallmouth bass",0,"Not recorded","Natural","Not recorded",205,NA,1,"Yes"
7,7,2022-10-24 12:30:36,"Hallwood","Hallwood 1 RR","Start trap & begin trapping",10,"Chinook salmon",0,"Not recorded","Natural","Not recorded",NA,NA,0,"Yes"
7,10,2022-10-24 12:30:46,"Hallwood","Hallwood 3","Start trap & begin trapping",13,"Chinook salmon",0,"Not recorded","Natural","Not recorded",NA,NA,0,"Yes"
7,8,2022-10-25 08:52:44,"Hallwood","Hallwood 1 RR","Continue trapping",11,"Bluegill",0,"Not recorded","Natural","Not recorded",70,NA,1,"Yes"
7,11,2022-10-25 09:13:43,"Hallwood","Hallwood 3","Continue trapping",14,"Chinook salmon",0,"Not recorded","Natural","Not recorded",NA,NA,0,"Yes"
7,9,2022-10-26 10:41:27,"Hallwood","Hallwood 1 RR","Continue trapping",12,"Chinook salmon",0,"Not recorded","Natural","Not recorded",NA,NA,0,"Yes"
7,12,2022-10-26 11:04:34,"Hallwood","Hallwood 3","Continue trapping",15,"Chinook salmon",0,"Not recorded","Natural","Not recorded",NA,NA,0,"Yes"
7,16,2022-10-27 08:43:54,"Hallwood","Hallwood 3","Continue trapping",19,"Chinook salmon",0,"Not recorded","Natural","Not recorded",NA,NA,0,"Yes"
7,13,2022-10-27 09:02:40,"Hallwood","Hallwood 1 RR","Continue trapping",16,"Chinook salmon",0,"Not recorded","Natural","Not recorded",NA,NA,0,"Yes"
7,17,2022-10-28 09:22:37,"Hallwood","Hallwood 3","End trapping",20,"Chinook salmon",0,"Not recorded","Natural","Not recorded",NA,NA,0,"Yes"
