projectDescriptionID,trapVisitID,visitTime,siteName,subSiteName,visitType,fishProcessed,trapFunctioning,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,waterTemp,turbidity
2,1,2022-10-17T13:58:04Z,Hallwood,Hallwood 1 RR,Start trap & begin trapping,Not applicable,Trap functioning normally,,,0.5,Yes,18.0,0.550000011920929
7,2,2022-10-17T13:58:44Z,Hallwood,Hallwood 1 RR,Start trap & begin trapping,Not applicable,Trap functioning normally,,,0.5,Yes,18.0,0.550000011920929
7,3,2022-10-18T09:53:53Z,Hallwood,Hallwood 1 RR,Continue trapping,No fish were caught,Trap functioning normally,475.0,0.5,0.300000011920929,Yes,18.0,
7,4,2022-10-19T11:55:22Z,Hallwood,Hallwood 1 RR,Continue trapping,Processed fish,Trap functioning normally,617.0,0.600000023841858,0.600000023841858,Yes,18.0,
7,5,2022-10-20T09:07:46Z,Hallwood,Hallwood 1 RR,Continue trapping,No fish were caught,Trap functioning normally,712.0,0.600000023841858,0.5,Yes,16.0,0.610000014305115
7,6,2022-10-21T10:50:34Z,Hallwood,Hallwood 1 RR,End trapping,Processed fish,Trap functioning normally,522.0,0.349999994039536,,Yes,16.0,6.0
7,7,2022-10-24T12:30:36Z,Hallwood,Hallwood 1 RR,Start trap & begin trapping,Not applicable,Trap functioning normally,,,1.10000002384186,Yes,18.0,0.579999983310699
7,10,2022-10-24T12:30:46Z,Hallwood,Hallwood 3,Start trap & begin trapping,Not applicable,Trap functioning normally,,,2.0,Yes,18.0,0.579999983310699
7,8,2022-10-25T08:52:44Z,Hallwood,Hallwood 1 RR,Continue trapping,Processed fish,Trap functioning normally,997.0,0.699999988079071,0.5,Yes,18.0,0.879999995231628
7,11,2022-10-25T09:13:43Z,Hallwood,Hallwood 3,Continue trapping,No fish were caught,Trap functioning normally,,1.76999998092651,1.5,Yes,18.0,0.879999995231628
7,9,2022-10-26T10:41:27Z,Hallwood,Hallwood 1 RR,Continue trapping,No fish were caught,Trap functioning normally,1045.0,0.600000023841858,0.800000011920929,Yes,,1.1599999666214
